,Title,Color,Price,Discount,Buyers,Rating
0,U&i Pasta Series Extra Bass Wired Earphone with Mic Wir...,Brown,189,57% ,"1,114",3.8
1,U&i Web Series Wired Gaming Earphone with Adjustable Mi...,Black2,379,57% ,"1,401",3.6
2,realme Buds 2 Wired Headset,Black,599,25% ,"5,90,215",4.3
3,realme Buds Classic RMA2001 Wired Earphones with HD Mic...,Black,399,42% ,"1,21,894",4.2
4,boAt BassHeads 100 Wired Headset,Furious Red,399,60% ,"11,29,901",4.3
5,realme Buds Classic RMA2001 Wired Earphones with HD Mic...,White,399,42% ,"1,21,894",4.2
6,boAt Bassheads 242 Wired Headset,Active Black,599,59% ,"4,56,426",4.3
7,ZOYASLIX Best Sam_sung ys Hendfree A8 FOR J4/J5/J7/J8/A...,White,249,68% ,49,3.6
8,boAt Bassheads 103 Black Wired Headset,Black,499,61% ,"4,89,687",4.3
9,boAt BassHeads 182 Wired Headset,Jazzy Blue,499,61% ,"1,20,109",4.3
10,Redmi by Mi Hi-Resolution Audio Wired Headset,Blue,399,33% ,"81,157",4.2
11,PEarl Entities DUALDRIVER Wired Headset,"CYAN BLUE,  Black",199,80% ,39,3.6
12,boAt BassHeads 900 Wired Headset,Carbon Black,849,65% ,"2,58,850",4.3
13,Boult Audio X1 Wired Headset,Blue Black,299,70% ,"2,01,805",4.1
14,Boult Audio Bassbuds X1 Wired Headset,Black,299,70% ,"2,01,805",4.1
15,Edifier V4 Gaming Wired Headset,"Red,  Green,  White",1599,73% ,3,4.0
16,boAt Bassheads 100 Wired Headset,Black,399,60% ,"11,29,901",4.3
17,realme Buds 2 Wired Headset,Green,599,25% ,"5,90,215",4.3
18,Nokia T2000 Rapid Charge Neckband Bluetooth Headset,Twilight Blue,1999,33% ,"4,180",3.9
19,PTron Boom One Wired Headset,Blue,299,62% ,"2,667",3.5
20,boAt Rockerz 450 with Upto 15 Hours Playback Bluetooth ...,Luscious Black,1499,62% ,"3,21,617",4.3
21,boAt Bassheads 242 Wired Headset,Spirit Lime,599,59% ,"4,56,426",4.3
22,Mi Basic Wired Headset with Mic,Black,429,28% ,"7,26,931",4.3
23,U&i Gamer Series with Volume Control Wired Headphone Wi...,Red,519,60% ,"3,597",3.8
24,Redmi by Mi Hi-Resolution Audio Wired Headset,Black,399,33% ,"81,157",4.2
25,boAt BassHeads 182 Wired Headset,Active Black,499,61% ,"1,20,109",4.3
26,MINISO Colorful Music Earphone In-Ear Headphones With M...,Green,200,nan,"14,804",3.8
27,PEarl Entities PREGET Wired Headset,"Blue,  Black",299,62% ,180,3.9
28,Ubon GP-321 Champ Earphone Wired Headset,Black,179,28% ,"1,709",3.7
29,boAt BassHeads 172 Wired Headset,Jazzy Blue,499,61% ,"1,21,216",4.3
30,boAt BassHeads 172 Wired Headset,Raging Red,499,61% ,"1,21,216",4.3
31,PEarl Entities DUAL DRIVER Wired Headset,"Purple,  Black",199,80% ,39,3.6
32,MIFKRT Earphones Wired Headset,White,239,73% ,131,3.8
33,Mi Basic Wired Headset,"Blue,  Black",429,28% ,"7,26,931",4.3
34,JBL C150SI with One Button Universal Remote Wired Heads...,Black,699,50% ,"3,53,834",4.2
35,PTron Boom One Wired Headset,Black,399,50% ,"2,667",3.5
36,boAt Bassheads 103 Blue Wired Headset,Blue,499,61% ,"4,89,687",4.3
37,boAt BassHeads 100 Wired Headset,Taffy Pink,399,60% ,"11,29,901",4.3
38,PTron InTunes Lite Neckband Bluetooth Headset,"Black,  Red",599,66% ,"18,772",3.8
39,HPYP HUB YS 100% Original HIgh Bass 3.5 mm jack Earphon...,White,249,64% ,a,
