Title,Color,Price,Discount,Buyers,Rating
U&i Pasta Series Extra Bass Wired Earphone with Mic Wir...,"Brown, In the Ear",₹189,57% off,"(1,114)",3.8
U&i Web Series Wired Gaming Earphone with Adjustable Mi...,"Black2, In the Ear",₹379,57% off,"(1,401)",3.6
realme Buds 2 Wired Headset,"Black, In the Ear",₹599,25% off,"(5,90,215)",4.3
realme Buds Classic RMA2001 Wired Earphones with HD Mic...,"Black, In the Ear",₹399,42% off,"(1,21,894)",4.2
boAt BassHeads 100 Wired Headset,"Furious Red, In the Ear",₹399,60% off,"(11,29,901)",4.3
realme Buds Classic RMA2001 Wired Earphones with HD Mic...,"White, In the Ear",₹399,42% off,"(1,21,894)",4.2
boAt Bassheads 242 Wired Headset,"Active Black, In the Ear",₹599,59% off,"(4,56,426)",4.3
ZOYASLIX Best Sam_sung ys Hendfree A8 FOR J4/J5/J7/J8/A...,"White, In the Ear",₹249,68% off,(49),3.6
boAt Bassheads 103 Black Wired Headset,"Black, In the Ear",₹499,61% off,"(4,89,687)",4.3
boAt BassHeads 182 Wired Headset,"Jazzy Blue, In the Ear",₹499,61% off,"(1,20,109)",4.3
Redmi by Mi Hi-Resolution Audio Wired Headset,"Blue, In the Ear",₹399,33% off,"(81,157)",4.2
PEarl Entities DUALDRIVER Wired Headset,"CYAN BLUE, Black, In the Ear",₹199,80% off,(39),3.6
boAt BassHeads 900 Wired Headset,"Carbon Black, On the Ear",₹849,65% off,"(2,58,850)",4.3
Boult Audio X1 Wired Headset,"Blue Black, In the Ear",₹299,70% off,"(2,01,805)",4.1
Boult Audio Bassbuds X1 Wired Headset,"Black, In the Ear",₹299,70% off,"(2,01,805)",4.1
Edifier V4 Gaming Wired Headset,"Red, Green, White, On the Ear","₹1,599",73% off,(3),4
boAt Bassheads 100 Wired Headset,"Black, In the Ear",₹399,60% off,"(11,29,901)",4.3
realme Buds 2 Wired Headset,"Green, In the Ear",₹599,25% off,"(5,90,215)",4.3
Nokia T2000 Rapid Charge Neckband Bluetooth Headset,"Twilight Blue, In the Ear","₹1,999",33% off,"(4,180)",3.9
PTron Boom One Wired Headset,"Blue, In the Ear",₹299,62% off,"(2,667)",3.5
boAt Rockerz 450 with Upto 15 Hours Playback Bluetooth ...,"Luscious Black, On the Ear","₹1,499",62% off,"(3,21,617)",4.3
boAt Bassheads 242 Wired Headset,"Spirit Lime, In the Ear",₹599,59% off,"(4,56,426)",4.3
Mi Basic Wired Headset with Mic,"Black, In the Ear",₹429,28% off,"(7,26,931)",4.3
U&i Gamer Series with Volume Control Wired Headphone Wi...,"Red, On the Ear",₹519,60% off,"(3,597)",3.8
Redmi by Mi Hi-Resolution Audio Wired Headset,"Black, In the Ear",₹399,33% off,"(81,157)",4.2
boAt BassHeads 182 Wired Headset,"Active Black, In the Ear",₹499,61% off,"(1,20,109)",4.3
MINISO Colorful Music Earphone In-Ear Headphones With M...,"Green, In the Ear",₹200,,"(14,804)",3.8
PEarl Entities PREGET Wired Headset,"Blue, Black, In the Ear",₹299,62% off,(180),3.9
Ubon GP-321 Champ Earphone Wired Headset,"Black, In the Ear",₹179,28% off,"(1,709)",3.7
boAt BassHeads 172 Wired Headset,"Jazzy Blue, In the Ear",₹499,61% off,"(1,21,216)",4.3
boAt BassHeads 172 Wired Headset,"Raging Red, In the Ear",₹499,61% off,"(1,21,216)",4.3
PEarl Entities DUAL DRIVER Wired Headset,"Purple, Black, In the Ear",₹199,80% off,(39),3.6
MIFKRT Earphones Wired Headset,"White, In the Ear",₹239,73% off,(131),3.8
Mi Basic Wired Headset,"Blue, Black, In the Ear",₹429,28% off,"(7,26,931)",4.3
JBL C150SI with One Button Universal Remote Wired Heads...,"Black, In the Ear",₹699,50% off,"(3,53,834)",4.2
PTron Boom One Wired Headset,"Black, In the Ear",₹399,50% off,"(2,667)",3.5
boAt Bassheads 103 Blue Wired Headset,"Blue, In the Ear",₹499,61% off,"(4,89,687)",4.3
boAt BassHeads 100 Wired Headset,"Taffy Pink, In the Ear",₹399,60% off,"(11,29,901)",4.3
PTron InTunes Lite Neckband Bluetooth Headset,"Black, Red, In the Ear",₹599,66% off,"(18,772)",3.8
HPYP HUB YS 100% Original HIgh Bass 3.5 mm jack Earphon...,"White, In the Ear",₹249,64% off,,
